"vulnerability_rank","IGZ","CPP","Indicator","BaseYear","Change","ChangeAv","InterZone_Name","group","label","CommunityValue_BaseYear","CommunityValue_RecentYear","CPPAverage_BaseYear","CPPAverage_RecentYear"
1,"S02001353","Angus","Participation Rate","2016/17",9.71,0.09,"Arbroath Harbour","Participation Rate Arbroath Harbour"," ","77.65","85.19",91.56,91.64
1,"S02001386","Argyll and Bute","Attainment","2013/14",-3.31,-1,"Dunoon","Attainment Dunoon"," ","5.43","5.25",5.61,5.55
1,"S02001386","Argyll and Bute","Child Poverty","2014/15",-8.91,-4.22,"Dunoon","Child Poverty Dunoon"," ","18.51","20.16",14.67,15.28
1,"S02001386","Argyll and Bute","Crime Rate","2012/13",33,34,"Dunoon","Crime Rate Dunoon"," ","2922.21","1954.48",1719,1137
1,"S02001386","Argyll and Bute","Depopulation","2012/13",-7.88,-1.13,"Dunoon","Depopulation Dunoon"," ","100","107.88",100,101.13
1,"S02001386","Argyll and Bute","Early Mortality","2012/13",14,12,"Dunoon","Early Mortality Dunoon"," ","585","505.12",435,384
1,"S02001386","Argyll and Bute","Emergency Admissions","2012/13",18,4,"Dunoon","Emergency Admissions Dunoon"," ","30464.89","24927.54",22307,21504
1,"S02001386","Argyll and Bute","Out of Work Benefits","2013/14",-24.89,-31.96,"Dunoon","Out of Work Benefits Dunoon"," ","20.13","25.14",9.99,13.18
1,"S02001386","Argyll and Bute","Participation Rate","2016/17",-2,0.31,"Dunoon","Participation Rate Dunoon"," ","93.36","91.49",94.48,94.78
1,"S02001402","Clackmannanshire","Attainment","2013/14",8.3,-0.48,"Alloa South and East","Attainment Alloa South and East"," ","4.46","4.83",5.4,5.37
1,"S02001402","Clackmannanshire","Child Poverty","2014/15",5.05,-11.86,"Alloa South and East","Child Poverty Alloa South and East"," ","38.59","36.64",17.87,19.99
1,"S02001402","Clackmannanshire","Crime Rate","2012/13",5,2,"Alloa South and East","Crime Rate Alloa South and East"," ","3832.57","3627.16",1163,1134
1,"S02001402","Clackmannanshire","Depopulation","2012/13",-1.41,1.18,"Alloa South and East","Depopulation Alloa South and East"," ","100","101.41",100,98.82
1,"S02001402","Clackmannanshire","Early Mortality","2012/13",-14,-2,"Alloa South and East","Early Mortality Alloa South and East"," ","624","712.59",458,466
1,"S02001402","Clackmannanshire","Emergency Admissions","2012/13",-10,-11,"Alloa South and East","Emergency Admissions Alloa South and East"," ","22923.08","25308.37",20978,23368
1,"S02001402","Clackmannanshire","Out of Work Benefits","2013/14",-15.26,-22.7,"Alloa South and East","Out of Work Benefits Alloa South and East"," ","32.17","37.08",14.22,17.45
1,"S02001402","Clackmannanshire","Participation Rate","2016/17",13.85,1.73,"Alloa South and East","Participation Rate Alloa South and East"," ","74.01","84.26",89.83,91.39
1,"S02001423","Dumfries and Galloway","Attainment","2013/14",2.85,-0.99,"Lochside and Lincluden","Attainment Lochside and Lincluden"," ","4.91","5.05",5.56,5.5
1,"S02001423","Dumfries and Galloway","Child Poverty","2014/15",4.16,-10.03,"Lochside and Lincluden","Child Poverty Lochside and Lincluden"," ","30.32","29.06",17.05,18.76
1,"S02001423","Dumfries and Galloway","Crime Rate","2012/13",-80,-52,"Lochside and Lincluden","Crime Rate Lochside and Lincluden"," ","1219.84","2194.75",912,1388
1,"S02001423","Dumfries and Galloway","Depopulation","2012/13",-13.47,-3.76,"Lochside and Lincluden","Depopulation Lochside and Lincluden"," ","100","113.47",100,103.76
1,"S02001423","Dumfries and Galloway","Early Mortality","2012/13",-32,0,"Lochside and Lincluden","Early Mortality Lochside and Lincluden"," ","597","787.35",406,405
1,"S02001423","Dumfries and Galloway","Emergency Admissions","2012/13",-16,-5,"Lochside and Lincluden","Emergency Admissions Lochside and Lincluden"," ","31317.49","36307.25",21449,22523
1,"S02001423","Dumfries and Galloway","Out of Work Benefits","2013/14",-34.78,-45.02,"Lochside and Lincluden","Out of Work Benefits Lochside and Lincluden"," ","24.5","33.02",10.97,15.91
1,"S02001423","Dumfries and Galloway","Participation Rate","2016/17",9.29,2.94,"Lochside and Lincluden","Participation Rate Lochside and Lincluden"," ","81.66","89.25",91.49,94.18
1,"S02001457","Dundee City","Attainment","2013/14",-0.42,-3.27,"Douglas East","Attainment Douglas East"," ","4.73","4.71",5.35,5.18
1,"S02001457","Dundee City","Child Poverty","2014/15",-40.39,-3.39,"Douglas East","Child Poverty Douglas East"," ","23.3","32.71",17.72,18.32
1,"S02001457","Dundee City","Crime Rate","2012/13",-70,NA,"Douglas East","Crime Rate Douglas East"," ","1363.37","2314.29",17.72,1634
1,"S02001457","Dundee City","Depopulation","2012/13",-11.78,0.21,"Douglas East","Depopulation Douglas East"," ","100","111.78",100,99.79
1,"S02001457","Dundee City","Early Mortality","2012/13",-16,8,"Douglas East","Early Mortality Douglas East"," ","682","792.55",596,548
1,"S02001457","Dundee City","Emergency Admissions","2012/13",13,-12,"Douglas East","Emergency Admissions Douglas East"," ","34375","29870.46",26055,29095
1,"S02001457","Dundee City","Out of Work Benefits","2013/14",-31.29,-20.57,"Douglas East","Out of Work Benefits Douglas East"," ","26.05","34.2",16.09,19.4
1,"S02001457","Dundee City","Participation Rate","2016/17",9.56,2.2,"Douglas East","Participation Rate Douglas East"," ","78.12","85.59",87.56,89.48
1,"S02001501","East Ayrshire","Attainment","2013/14",3.09,0.02,"Altonhill South, Longpark and Hillhead","Attainment Altonhill South, Longpark and Hillhead"," ","4.85","5",5.39,5.39
1,"S02001501","East Ayrshire","Child Poverty","2014/15",10.44,-7.61,"Altonhill South, Longpark and Hillhead","Child Poverty Altonhill South, Longpark and Hillhead"," ","24.05","21.54",19.52,21
1,"S02001501","East Ayrshire","Crime Rate","2012/13",53,40,"Altonhill South, Longpark and Hillhead","Crime Rate Altonhill South, Longpark and Hillhead"," ","4175.34","1979.42",2132,1274
1,"S02001501","East Ayrshire","Depopulation","2012/13",5.13,-2.49,"Altonhill South, Longpark and Hillhead","Depopulation Altonhill South, Longpark and Hillhead"," ","100","94.87",100,102.49
1,"S02001501","East Ayrshire","Early Mortality","2012/13",26,-3,"Altonhill South, Longpark and Hillhead","Early Mortality Altonhill South, Longpark and Hillhead"," ","961","711.05",511,525
1,"S02001501","East Ayrshire","Emergency Admissions","2012/13",-9,9,"Altonhill South, Longpark and Hillhead","Emergency Admissions Altonhill South, Longpark and Hillhead"," ","31250","34021.86",30637,27775
1,"S02001501","East Ayrshire","Out of Work Benefits","2013/14",-11.92,-27.35,"Altonhill South, Longpark and Hillhead","Out of Work Benefits Altonhill South, Longpark and Hillhead"," ","28.18","31.54",15.87,20.2
1,"S02001501","East Ayrshire","Participation Rate","2016/17",11.41,3.5,"Altonhill South, Longpark and Hillhead","Participation Rate Altonhill South, Longpark and Hillhead"," ","79.7","88.79",89.02,92.14
1,"S02001528","East Dunbartonshire","Attainment","2013/14",4.22,1.92,"Hillhead","Attainment Hillhead"," ","5.21","5.43",6,6.11
1,"S02001528","East Dunbartonshire","Child Poverty","2014/15",18.04,4.38,"Hillhead","Child Poverty Hillhead"," ","23.22","19.03",8.54,8.17
1,"S02001528","East Dunbartonshire","Crime Rate","2012/13",NA,NA,"Hillhead","Crime Rate Hillhead"," ","8.32","1122.57",8.54,538
1,"S02001528","East Dunbartonshire","Depopulation","2012/13",1.36,2.13,"Hillhead","Depopulation Hillhead"," ","100","98.64",100,97.87
1,"S02001528","East Dunbartonshire","Early Mortality","2012/13",2,16,"Hillhead","Early Mortality Hillhead"," ","641","628.87",344,289
1,"S02001528","East Dunbartonshire","Emergency Admissions","2012/13",10,13,"Hillhead","Emergency Admissions Hillhead"," ","36020.58","32590.04",24567,21360
1,"S02001528","East Dunbartonshire","Out of Work Benefits","2013/14",-25.66,-28.18,"Hillhead","Out of Work Benefits Hillhead"," ","23.5","29.53",7.46,9.57
1,"S02001528","East Dunbartonshire","Participation Rate","2016/17",8.2,0.57,"Hillhead","Participation Rate Hillhead"," ","88.12","95.35",95.52,96.07
1,"S02001539","East Lothian","Attainment","2013/14",1.01,-1.16,"Musselburgh Levenhall","Attainment Musselburgh Levenhall"," ","4.96","5.01",5.54,5.47
1,"S02001539","East Lothian","Child Poverty","2014/15",47.74,18.45,"Musselburgh Levenhall","Child Poverty Musselburgh Levenhall"," ","29.01","15.16",13.94,11.37
1,"S02001539","East Lothian","Crime Rate","2012/13",10,-66,"Musselburgh Levenhall","Crime Rate Musselburgh Levenhall"," ","1041.67","932.66",846,1406
1,"S02001539","East Lothian","Depopulation","2012/13",7.96,8.66,"Musselburgh Levenhall","Depopulation Musselburgh Levenhall"," ","100","92.04",100,91.34
1,"S02001539","East Lothian","Early Mortality","2012/13",14,17,"Musselburgh Levenhall","Early Mortality Musselburgh Levenhall"," ","557","477.33",414,345
1,"S02001539","East Lothian","Emergency Admissions","2012/13",14,16,"Musselburgh Levenhall","Emergency Admissions Musselburgh Levenhall"," ","24014.34","20669.95",23511,19759
1,"S02001539","East Lothian","Out of Work Benefits","2013/14",-1.67,-23.77,"Musselburgh Levenhall","Out of Work Benefits Musselburgh Levenhall"," ","17.32","17.61",9.59,11.87
1,"S02001539","East Lothian","Participation Rate","2016/17",27.82,5.06,"Musselburgh Levenhall","Participation Rate Musselburgh Levenhall"," ","74.51","95.24",90.27,94.84
1,"S02001560","East Renfrewshire","Attainment","2013/14",1.3,1.33,"Auchenback","Attainment Auchenback"," ","5.38","5.45",6.08,6.16
1,"S02001560","East Renfrewshire","Child Poverty","2014/15",-6.67,11.67,"Auchenback","Child Poverty Auchenback"," ","21.44","22.87",9.03,7.98
1,"S02001560","East Renfrewshire","Crime Rate","2012/13",36,50,"Auchenback","Crime Rate Auchenback"," ","1397.48","895.39",1174,587
1,"S02001560","East Renfrewshire","Depopulation","2012/13",0.91,5.38,"Auchenback","Depopulation Auchenback"," ","100","99.09",100,94.62
1,"S02001560","East Renfrewshire","Early Mortality","2012/13",-41,14,"Auchenback","Early Mortality Auchenback"," ","585","826.1",347,298
1,"S02001560","East Renfrewshire","Emergency Admissions","2012/13",17,19,"Auchenback","Emergency Admissions Auchenback"," ","34469.7","28520.89",24725,19931
1,"S02001560","East Renfrewshire","Out of Work Benefits","2013/14",-17.06,-19.56,"Auchenback","Out of Work Benefits Auchenback"," ","19.81","23.19",7.21,8.62
1,"S02001560","East Renfrewshire","Participation Rate","2016/17",5.37,0.65,"Auchenback","Participation Rate Auchenback"," ","88.07","92.8",96.12,96.74
1,"S02001627","Edinburgh, City of","Attainment","2013/14",17.87,2.16,"Craigmillar","Attainment Craigmillar"," ","4.42","5.21",5.56,5.68
1,"S02001627","Edinburgh, City of","Child Poverty","2014/15",31.09,-14.23,"Craigmillar","Child Poverty Craigmillar"," ","27.82","19.17",10.69,12.21
1,"S02001627","Edinburgh, City of","Crime Rate","2012/13",34,7,"Craigmillar","Crime Rate Craigmillar"," ","3228.58","2115.28",1262,1170
1,"S02001627","Edinburgh, City of","Depopulation","2012/13",58.86,5.6,"Craigmillar","Depopulation Craigmillar"," ","100","41.14",100,94.4
1,"S02001627","Edinburgh, City of","Early Mortality","2012/13",38,15,"Craigmillar","Early Mortality Craigmillar"," ","1669","1031.15",470,400
1,"S02001627","Edinburgh, City of","Emergency Admissions","2012/13",20,12,"Craigmillar","Emergency Admissions Craigmillar"," ","39510.49","31685.69",25325,22315
1,"S02001627","Edinburgh, City of","Out of Work Benefits","2013/14",26.68,-6.32,"Craigmillar","Out of Work Benefits Craigmillar"," ","24.29","17.81",9.87,10.49
1,"S02001627","Edinburgh, City of","Participation Rate","2016/17",8.18,3.21,"Craigmillar","Participation Rate Craigmillar"," ","83.54","90.37",90.28,93.18
1,"S02001693","Eilean Siar","Attainment","2013/14",-14.24,-4.42,"Stornoway West","Attainment Stornoway West"," ","5.76","4.94",5.7,5.45
1,"S02001693","Eilean Siar","Child Poverty","2014/15",-7.83,-20.77,"Stornoway West","Child Poverty Stornoway West"," ","16.61","17.91",11.42,13.79
1,"S02001693","Eilean Siar","Crime Rate","2012/13",-652,-483,"Stornoway West","Crime Rate Stornoway West"," ","374.28","2814.39",132,772
1,"S02001693","Eilean Siar","Depopulation","2012/13",-15.01,-5.7,"Stornoway West","Depopulation Stornoway West"," ","100","115.01",100,105.7
1,"S02001693","Eilean Siar","Early Mortality","2012/13",-14,11,"Stornoway West","Early Mortality Stornoway West"," ","603","686.23",478,424
1,"S02001693","Eilean Siar","Emergency Admissions","2012/13",-5,-4,"Stornoway West","Emergency Admissions Stornoway West"," ","28278.04","29587.69",24465,25346
1,"S02001693","Eilean Siar","Out of Work Benefits","2013/14",-35.87,-14.11,"Stornoway West","Out of Work Benefits Stornoway West"," ","13.13","17.84",9.65,11.01
1,"S02001693","Eilean Siar","Participation Rate","2016/17",-2.63,1.58,"Stornoway West","Participation Rate Stornoway West"," ","96.43","93.89",95.87,97.39
1,"S02001711","Falkirk","Attainment","2013/14",-2.02,0.45,"Falkirk - Bainsford and Langlees","Attainment Falkirk - Bainsford and Langlees"," ","4.95","4.85",5.47,5.5
1,"S02001711","Falkirk","Child Poverty","2014/15",-3.24,-5.3,"Falkirk - Bainsford and Langlees","Child Poverty Falkirk - Bainsford and Langlees"," ","32.38","33.43",17.19,18.1
1,"S02001711","Falkirk","Crime Rate","2012/13",34,18,"Falkirk - Bainsford and Langlees","Crime Rate Falkirk - Bainsford and Langlees"," ","2270.49","1497.93",1412,1151
1,"S02001711","Falkirk","Depopulation","2012/13",-7.25,-0.29,"Falkirk - Bainsford and Langlees","Depopulation Falkirk - Bainsford and Langlees"," ","100","107.25",100,100.29
1,"S02001711","Falkirk","Early Mortality","2012/13",-2,-2,"Falkirk - Bainsford and Langlees","Early Mortality Falkirk - Bainsford and Langlees"," ","769","787.4",461,470
1,"S02001711","Falkirk","Emergency Admissions","2012/13",-3,-9,"Falkirk - Bainsford and Langlees","Emergency Admissions Falkirk - Bainsford and Langlees"," ","36382.11","37336.28",24210,26352
1,"S02001711","Falkirk","Out of Work Benefits","2013/14",-25.64,-23.86,"Falkirk - Bainsford and Langlees","Out of Work Benefits Falkirk - Bainsford and Langlees"," ","27.65","34.74",12.58,15.59
1,"S02001711","Falkirk","Participation Rate","2016/17",0.22,1.52,"Falkirk - Bainsford and Langlees","Participation Rate Falkirk - Bainsford and Langlees"," ","81.87","82.05",89.79,91.16
1,"S02001815","Fife","Attainment","2013/14",-2.21,-0.09,"Methil West","Attainment Methil West"," ","4.52","4.42",5.41,5.41
1,"S02001815","Fife","Child Poverty","2014/15",1.24,-0.89,"Methil West","Child Poverty Methil West"," ","39.46","38.97",17.59,17.75
1,"S02001815","Fife","Crime Rate","2012/13",12,-29,"Methil West","Crime Rate Methil West"," ","3457.27","3046.35",923,1192
1,"S02001815","Fife","Depopulation","2012/13",-4.9,0.57,"Methil West","Depopulation Methil West"," ","100","104.9",100,99.43
1,"S02001815","Fife","Early Mortality","2012/13",-52,3,"Methil West","Early Mortality Methil West"," ","693","1056.76",446,431
1,"S02001815","Fife","Emergency Admissions","2012/13",-56,-13,"Methil West","Emergency Admissions Methil West"," ","27992.28","43735.47",22948,25995
1,"S02001815","Fife","Out of Work Benefits","2013/14",-38.98,-29.09,"Methil West","Out of Work Benefits Methil West"," ","32.58","45.28",12.64,16.32
1,"S02001815","Fife","Participation Rate","2016/17",2.04,2.91,"Methil West","Participation Rate Methil West"," ","76.79","78.36",88.84,91.43
1,"S02001907","Glasgow City","Attainment","2013/14",5.64,3.45,"North Barlanark and Easterhouse South","Attainment North Barlanark and Easterhouse South"," ","4.61","4.87",5.25,5.43
1,"S02001907","Glasgow City","Child Poverty","2014/15",8.11,-13.77,"North Barlanark and Easterhouse South","Child Poverty North Barlanark and Easterhouse South"," ","28.97","26.62",22.4,25.49
1,"S02001907","Glasgow City","Crime Rate","2012/13",65,61,"North Barlanark and Easterhouse South","Crime Rate North Barlanark and Easterhouse South"," ","4375.56","1513.31",3820,1480
1,"S02001907","Glasgow City","Depopulation","2012/13",0.13,3.89,"North Barlanark and Easterhouse South","Depopulation North Barlanark and Easterhouse South"," ","100","99.87",100,96.11
1,"S02001907","Glasgow City","Early Mortality","2012/13",9,11,"North Barlanark and Easterhouse South","Early Mortality North Barlanark and Easterhouse South"," ","1121","1024.58",703,624
1,"S02001907","Glasgow City","Emergency Admissions","2012/13",14,13,"North Barlanark and Easterhouse South","Emergency Admissions North Barlanark and Easterhouse South"," ","50349.65","43055.4",34269,29806
1,"S02001907","Glasgow City","Out of Work Benefits","2013/14",-7.59,-8.37,"North Barlanark and Easterhouse South","Out of Work Benefits North Barlanark and Easterhouse South"," ","38.71","41.65",19.83,21.49
1,"S02001907","Glasgow City","Participation Rate","2016/17",3.19,3.96,"North Barlanark and Easterhouse South","Participation Rate North Barlanark and Easterhouse South"," ","83.27","85.93",87.37,90.83
1,"S02002002","Highland","Attainment","2013/14",5.06,-1.07,"Inverness Merkinch","Attainment Inverness Merkinch"," ","4.35","4.57",5.5,5.44
1,"S02002002","Highland","Child Poverty","2014/15",-4.12,-6.03,"Inverness Merkinch","Child Poverty Inverness Merkinch"," ","33.46","34.84",14.65,15.54
1,"S02002002","Highland","Crime Rate","2012/13",-79,-297,"Inverness Merkinch","Crime Rate Inverness Merkinch"," ","1846.22","3297.72",331,1313
1,"S02002002","Highland","Depopulation","2012/13",-0.42,-0.15,"Inverness Merkinch","Depopulation Inverness Merkinch"," ","100","100.42",100,100.15
1,"S02002002","Highland","Early Mortality","2012/13",3,8,"Inverness Merkinch","Early Mortality Inverness Merkinch"," ","921","889.26",432,399
1,"S02002002","Highland","Emergency Admissions","2012/13",-8,6,"Inverness Merkinch","Emergency Admissions Inverness Merkinch"," ","33521.13","36358.8",21523,20234
1,"S02002002","Highland","Out of Work Benefits","2013/14",-13.53,-38.54,"Inverness Merkinch","Out of Work Benefits Inverness Merkinch"," ","29.26","33.22",9.2,12.74
1,"S02002002","Highland","Participation Rate","2016/17",2.53,-0.5,"Inverness Merkinch","Participation Rate Inverness Merkinch"," ","82.61","84.7",93.38,92.91
1,"S02002046","Inverclyde","Attainment","2013/14",1.74,-0.35,"Greenock Town Centre and East Central","Attainment Greenock Town Centre and East Central"," ","5.18","5.27",5.62,5.6
1,"S02002046","Inverclyde","Child Poverty","2014/15",28.51,-7.07,"Greenock Town Centre and East Central","Child Poverty Greenock Town Centre and East Central"," ","26.45","18.91",14.19,15.2
1,"S02002046","Inverclyde","Crime Rate","2012/13",45,43,"Greenock Town Centre and East Central","Crime Rate Greenock Town Centre and East Central"," ","8424.53","4645.14",1940,1100
1,"S02002046","Inverclyde","Depopulation","2012/13",3.43,-3.88,"Greenock Town Centre and East Central","Depopulation Greenock Town Centre and East Central"," ","100","96.57",100,103.88
1,"S02002046","Inverclyde","Early Mortality","2012/13",2,9,"Greenock Town Centre and East Central","Early Mortality Greenock Town Centre and East Central"," ","847","829.85",551,503
1,"S02002046","Inverclyde","Emergency Admissions","2012/13",14,15,"Greenock Town Centre and East Central","Emergency Admissions Greenock Town Centre and East Central"," ","39014.54","33716.34",27954,23879
1,"S02002046","Inverclyde","Out of Work Benefits","2013/14",-11.2,-22.02,"Greenock Town Centre and East Central","Out of Work Benefits Greenock Town Centre and East Central"," ","32.04","35.63",16.29,19.88
1,"S02002046","Inverclyde","Participation Rate","2016/17",5.26,1.96,"Greenock Town Centre and East Central","Participation Rate Greenock Town Centre and East Central"," ","84.38","88.82",91.35,93.13
1,"S02002066","Midlothian","Attainment","2013/14",1,0.02,"Dalkeith","Attainment Dalkeith"," ","5.02","5.07",5.42,5.42
1,"S02002066","Midlothian","Child Poverty","2014/15",-17.63,-2.24,"Dalkeith","Child Poverty Dalkeith"," ","23.31","27.42",14.54,14.87
1,"S02002066","Midlothian","Crime Rate","2012/13",33,4,"Dalkeith","Crime Rate Dalkeith"," ","4406.69","2949.25",1273,1227
1,"S02002066","Midlothian","Depopulation","2012/13",3.4,10.58,"Dalkeith","Depopulation Dalkeith"," ","100","96.6",100,89.42
1,"S02002066","Midlothian","Early Mortality","2012/13",-9,-2,"Dalkeith","Early Mortality Dalkeith"," ","648","707.59",420,427
1,"S02002066","Midlothian","Emergency Admissions","2012/13",5,15,"Dalkeith","Emergency Admissions Dalkeith"," ","24677.72","23442.7",25046,21361
1,"S02002066","Midlothian","Out of Work Benefits","2013/14",-17.48,-21.49,"Dalkeith","Out of Work Benefits Dalkeith"," ","25.69","30.18",11.91,14.47
1,"S02002066","Midlothian","Participation Rate","2016/17",19.23,6.91,"Dalkeith","Participation Rate Dalkeith"," ","75.78","90.35",88.26,94.36
1,"S02002084","Moray","Attainment","2013/14",-8.35,-1.47,"Elgin Cathedral to Ashgrove and Pinefield","Attainment Elgin Cathedral to Ashgrove and Pinefield"," ","5.39","4.94",5.52,5.44
1,"S02002084","Moray","Child Poverty","2014/15",-50.21,-19.08,"Elgin Cathedral to Ashgrove and Pinefield","Child Poverty Elgin Cathedral to Ashgrove and Pinefield"," ","18.68","28.06",13.57,16.16
1,"S02002084","Moray","Crime Rate","2012/13",-18,-2,"Elgin Cathedral to Ashgrove and Pinefield","Crime Rate Elgin Cathedral to Ashgrove and Pinefield"," ","2008.63","2371.61",1012,1037
1,"S02002084","Moray","Depopulation","2012/13",-11.5,-0.2,"Elgin Cathedral to Ashgrove and Pinefield","Depopulation Elgin Cathedral to Ashgrove and Pinefield"," ","100","111.5",100,100.2
1,"S02002084","Moray","Early Mortality","2012/13",-5,8,"Elgin Cathedral to Ashgrove and Pinefield","Early Mortality Elgin Cathedral to Ashgrove and Pinefield"," ","550","575.54",400,370
1,"S02002084","Moray","Emergency Admissions","2012/13",-7,-1,"Elgin Cathedral to Ashgrove and Pinefield","Emergency Admissions Elgin Cathedral to Ashgrove and Pinefield"," ","21118.01","22644.26",17487,17581
1,"S02002084","Moray","Out of Work Benefits","2013/14",-51.44,-50.5,"Elgin Cathedral to Ashgrove and Pinefield","Out of Work Benefits Elgin Cathedral to Ashgrove and Pinefield"," ","13.92","21.08",7.84,11.79
1,"S02002084","Moray","Participation Rate","2016/17",7.49,4.25,"Elgin Cathedral to Ashgrove and Pinefield","Participation Rate Elgin Cathedral to Ashgrove and Pinefield"," ","85.71","92.13",90.89,94.75
1,"S02002109","North Ayrshire","Attainment","2013/14",-6.13,0.38,"Irvine Fullarton","Attainment Irvine Fullarton"," ","5.22","4.9",5.41,5.43
1,"S02002109","North Ayrshire","Child Poverty","2014/15",-12,-0.47,"Irvine Fullarton","Child Poverty Irvine Fullarton"," ","30.34","33.98",20.35,20.45
1,"S02002109","North Ayrshire","Crime Rate","2012/13",8,35,"Irvine Fullarton","Crime Rate Irvine Fullarton"," ","6091.84","5627.64",2154,1404
1,"S02002109","North Ayrshire","Depopulation","2012/13",-26.42,-2.83,"Irvine Fullarton","Depopulation Irvine Fullarton"," ","100","126.42",100,102.83
1,"S02002109","North Ayrshire","Early Mortality","2012/13",-2,-2,"Irvine Fullarton","Early Mortality Irvine Fullarton"," ","792","809.69",516,526
1,"S02002109","North Ayrshire","Emergency Admissions","2012/13",10,3,"Irvine Fullarton","Emergency Admissions Irvine Fullarton"," ","39593.11","35498.79",27805,26840
1,"S02002109","North Ayrshire","Out of Work Benefits","2013/14",-20.98,-29.74,"Irvine Fullarton","Out of Work Benefits Irvine Fullarton"," ","33.98","41.11",17.21,22.33
1,"S02002109","North Ayrshire","Participation Rate","2016/17",-3.85,2.01,"Irvine Fullarton","Participation Rate Irvine Fullarton"," ","81.31","78.18",89.96,91.77
